author	work	start	end	Greek title	Latin title	abbreviation
0007	067	1a	14c	περὶ παίδων ἀγωγῆς	De liberis educandis	Lib. educ.
0007	068	14d	37b	πῶς δεῖ τὸν νέον ποιημάτων ἀκούειν	De audiendis poetis	Aud. poet.
0007	069	37b	48d	περὶ τοῦ ἀκούειν	De audiendo	Aud.
0007	070	48e	74e	πῶς ἄν τις διακρίνειε τὸν κόλακα τοῦ φίλου 	De adulatore et amico	Adul.
0007	071	75a	86a	πῶς ἄν τις αἴσθοιτο ἑαυτοῦ προκόπτοντος ἐπ᾿ ἀρετῇ	De profectibus in virtute	Profect.
0007	072	86b	92f	πῶς ἄν τις ἀπ᾿ ἐχθρῶν ὠφελοῖτο	De capienda ex inimicis utilitate	Util.
0007	073	93a	97b	περὶ πολυφιλίας	De amicorum multitudine	Mult.
0007	074	97c	100a	περὶ τύχης	De fortuna	Fort.
0007	075	100b	101e	περὶ ἀρετῆς καὶ κακίας	De virtute et vitio	Virt. et vit.
0007	076	101f	122a	παραμυθητικὸς πρὸς Ἀπολλώνιον	Consolatio ad Apollonium	Cons. Apoll.
0007	077	122b	137e	ὑγιεινὰ παραγγέλματα	De tuenda sanitate	Sanit.
0007	078	138a	146a	γαμικὰ παραγγέλματα	Coniugalia praecepta	Coniug.
0007	079	146b	164d	τῶν ἑπτὰ σοφῶν συμπόσιον	Septem sapientium convivium	Symp.
0007	080	164e	171f	περὶ δεισιδαιμονίας	De superstitione	Superst.
0007	081	172b	208a	ἀποφθέγματα βασιλέων καὶ στρατηγῶν	Regum et imperatorum apophthegmata	Apophth. reg.
0007	082	208b	242d	ἀποφθέγματα Λακωνικά, τὰ παλαιὰ τῶν Λακεδαιμονίων ἐπιτηδεύματα, Λακαινῶν ἀποφθέγματα	Apophthegmata Laconica	Apophth. Lac.
0007	083	242e	263c	γυναικῶν ἀρεταί	Mulierum virtutes	Mul. virt.
0007	084	263d	304f	αἴτια Ῥωμαϊκά καὶ Ἑλληνικά 	Aetia Graeca et Romana	Aet. Gr.
0007	085	305a	316b	συναγωγὴ ἱστοριῶν παραλλήλων Ἑλληνικῶν καὶ Ῥωμαϊκῶν	Parallela minora	Par. min.
0007	086	316c	326c	περὶ τῆς Ῥωμαίων τύχης	De fortuna Romanorum	Fort. Rom.
0007	087	326d	345b	περὶ τῆς Ἀλεξάνδρου τύχης ἢ ἀρετῆς λόγοι	De Alexandri Magni fortuna aut virtute	Alex. fort.
0007	088	345c	351b	πότερον Ἀθηναῖοι κατὰ πόλεμον ἢ κατὰ σοφίαν ἐνδοξότεροι	De gloria Atheniensium	Glor. Ath.
0007	089	351c	384c	περὶ Ἴσιδος καὶ Ὀσίριδος	De Iside et Osiride	Isid.
0007	090	384d	394c	περὶ τοῦ Εἶ τοῦ ἐν Δελφοῖς	De E apud Delphos	E apud Delph.
0007	091	394d	409d	περὶ τοῦ μὴ χρᾶν ἔμμετρα νῦν τὴν Πυθίαν	De Pythiae oraculis	Pyth.
0007	092	409e	438d	περὶ τῶν ἐκλελοιπότων χρηστηρίων	De defectu oraculorum	Def. orac.
0007	093	439a	440c	εἰ διδακτὸν ἡ ἀρετή	virtute doceri possit	Virt. doc.
0007	094	440d	452d	περὶ τῆς ἠθικῆς ἀρετῆς	De virtute morali	Virt. mor.
0007	095	452f	464d	περὶ ἀοργησίας	De cohibenda ira	Cohib.
0007	096	464e	477f	περὶ εὐθυμίας	De tranquillitate animi	Tranq.
0007	097	478a	492d	περὶ φιλαδελφίας	De fraterno amore	Frat.
0007	098	493a	497e	περὶ τῆς εἰς τὰ ἔκγονα φιλοστοργίας	De amore prolis	Am. prol.
0007	099	498a	500a	εἰ αὐτάρκης ἡ κακία πρὸς κακοδαιμονίαν	An vitiositas ad infelicitatem sufficiat	Vitios.
0007	100	500b	502a	περὶ τοῦ πότερον τὰ τῆς ψυχῆς ἢ τὰ τοῦ σώματος πάθη χείρονα	Animine an corporis affectiones sint peiores	Affect.
0007	101	502b	515a	περὶ ἀδολεσχίας	De garrulitate	Garr.
0007	102	515b	523b	περὶ πολυπραγμοσύνης	De curiositate	Curios.
0007	103	523c	528b	περὶ φιλοπλουτίας	De cupiditate divitiarum	Cupid.
0007	104	528c	536d	περὶ δυσωπίας	De vitioso pudore	Vit. pud.
0007	105	536e	538e	περὶ φθόνου καὶ μίσους	De invidia et odio	Inv.
0007	106	539a	547f	περὶ τοῦ ἑαυτὸν ἐπαινεῖν ἀνεπιφθόνως	De laude ipsius	Laud.
0007	107	548a	568a	περὶ τῶν ὑπὸ τοῦ θείου βραδέως τιμωρουμένων	De sera numinis vindicta	Vind.
0007	108	568b	574f	περὶ εἱμαρμένης	De fato	Fat.
0007	109	575a	598f	περὶ τοῦ Σωκράτους δαιμονίου	De genio Socratis	Gen. Socr.
0007	110	599a	607f	περὶ φυγῆς	De exilio	Exil.
0007	111	608a	612b	παραμυθητικὸς εἰς τὴν γυναῖκα τὴν αὑτοῦ	Consolatio ad uxorem	Cons. ux.
0007	112	612b	748d	συμποσιακὰ προβλήματα	Quaestiones convivales	QConv.
0007	113	748e	771e	ἐρωτικός	Amatorius	Amat.
0007	114	771e	775e	ἐρωτικαὶ διηγήσεις	Amatoriae narrationes	Amat. narr.
0007	115	776a	779c	περὶ τοῦ ὅτι μάλιστα τοῖς ἡγεμόσι δεῖ τὸν φιλόσοφον διαλέγεσθαι	Maxime cum principibus viris philosopho esse disserendum	Max. cum princip.
0007	116	779d	782f	πρὸς ἡγεμόνα ἀπαίδευτον 	Ad principem indoctum	Ad. princ. ind.
0007	117	783b	797f	εἰ πρεσβυτέρῳ πολιτευτέον	An seni respublica gerenda	An seni
0007	118	798a	825f	πολιτικὰ παραγγέλματα	Praecepta gerendae reipublicae	Praec.
0007	119	826a	827c	περὶ μοναρχίας καὶ δημοκρατίας καὶ ὀλιγαρχίας	De unius in republica dominatione, populari statu et paucorum imperio	Monarch.
0007	120	827d	832a	περὶ τοῦ μὴ δεῖν δανείζεσθαι	De vitando aere alieno	Vit. aer. al.
0007	121	832b	852e	περὶ τῶν δέκα ῥητόρων	Decem oratorum vitae	VOrat.
0007	122	853a	854d	συγκρίσεως Ἀριστοφάνους καὶ Μενάνδρου ἐπιτομή	De comparatione Aristophanis et Menandri epitome	Comp. Arist. Men.
0007	123	854e	874c	περὶ τῆς Ἡροδότου κακοηθείας	De Herodoti malignitate	Herod.
0094	003	874d	911c	περὶ τῶν ἀρεσκόντων τοῖς φιλοσόφοις	De placitis philosophorum	Plac.
0007	125	911c	919e	αἴτια φυσικά	Aetia physica	Aet. phys.
0007	126	920b	945e	περὶ τοῦ ἐμφαινομένου προσώπου τῷ κύκλῳ τῆς σελήνης	De facie in orbe lunae	Fac. lun.
0007	127	945f	955c	περὶ τοῦ πρώτως ψυχροῦ	De primo frigido	Frig.
0007	128	955d	958e	πότερον ὕδωρ ἢ πῦρ χρησιμώτερον	Aquane an ignis sit utilior	Aq.
0007	129	959a	985c	πότερα τῶν ζῴων φρονιμώτερα	De sollertia animalium	Sollert.
0007	130	985d	992e	περὶ τοῦ τὰ ἄλογα λόγῳ χρῆθαι	Bruta animalia ratione uti	Bruta anim.
0007	131	993a	996c	περὶ σαρκοφαγίας α′	De esu carnium oratt. 1	Es. carn. 1
0007	132	996d	999b	περὶ σαρκοφαγίας β′	De esu carnium oratt. 2	Es. carn. 2
0007	133	999c	1011e	Πλατωνικὰ ζητήματα	Platonicae quaestiones	QPlat.
0007	134	1012b	1030c	περὶ τῆς ἐν Τιμαίῳ ψυχογονίας	De anima procreatione in Timaeo	An. procr.
0007	135	1030d	1032f	ἐπιτομὴ τοῦ περὶ τῆς ἐν τῷ Τιμαίῳ ψυχογονίας	Epitome de anima procreatione in Timaeo	An. procr. epit.
0007	136	1033a	1057b	περὶ Στωικῶν ἐναντιωμάτων	De Stoicorum repugnantiis	Stoic. rep.
0007	137	1057c	1058e	ὅτι παραδοξότερα οἱ Στωικοὶ τῶν ποιητῶν λέγουσιν	Stoicos absurdiora poetis dicere	Stoic. absurd.
0007	138	1058e	1086b	περὶ τῶν κοινῶν ἐννοιῶν πρὸς τοὺς Στωικούς	De communibus notitiis adversus Stoicos	Comm. not.
0007	139	1086c	1107c	ὅτι οὐδ᾿ ἡδέως ζῆν ἔστιν κατ᾿ Ἐπίκουρον	Non posse suaviter vivi secundum Epicurum	Suav.
0007	140	1107d	1127e	πρὸς Κολώτην	Adversus Coloten	Col.
0007	141	1128a	1130e	εἰ καλῶς εἴρηται τὸ λάθε βιώσας	De latenter vivendo	Lat. viv.
0094	002	1131a	1147f	περὶ μουσικῆς	De musica	Mus.
